no,card_no,EN_name,KR_name,base_ex,dir,lo_1st,lo_2st,lo_3st,mo_1st,mo_2st,mo_3st,wo_1st,wo_2st,wo_3st
53,마이너,cups 4,성배 4,"권태, 포식",정방향,Four of Cups (사랑의 넷): 연애에서 과거에는 만족스러운 관계나 사랑의 제안을 무시했을 수 있습니다. 사랑의 기회를 놓치거나 무시한 적이 있을 수 있습니다.,"Four of Cups (컵의 포): 이 카드는 만족스러움과 평온함에 대한 갈망을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 현재 상황에 만족하지 못하거나 내적인 고요함을 느낄 수 있음을 나타냅니다. 이 카드는 감정적인 실망이나 무관심에 대한 경고일 수 있습니다.",컵 네 번째 (Four of Cups): 이 카드는 무관심과 만족하지 못함을 나타냅니다. 연애 관계에서는 두 사람 사이에 만족하지 못하는 감정이나 무관심한 태도가 나타날 수 있습니다. 이 카드는 서로에 대한 관심과 소통이 필요함을 암시합니다.,1st성배 4돈,2st성배 4돈,3st성배 4돈,1st성배 4일,2st성배 4일,3st성배 4일
54,마이너,cups 5,성배 5,"손실, 별거 아닌 유산",정방향,Five of Cups (사랑의 다섯): 연애에서는 이전에 실망이나 손실을 경험했을 수 있습니다. 과거에는 잃어버린 것에 집착하거나 후회하는 경향이 있었을 수 있습니다.,"Five of Cups (컵의 파이브): 이 카드는 손실과 후회를 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 과거의 상처나 실망에 대해 아직 이겨내지 못하고 있을 수 있음을 나타냅니다. 이 카드는 부정적인 감정에 머물러 있거나 잃은 것에 집착하는 경향을 보여줍니다. 하지만 이것은 새로운 가능성을 놓치지 말아야 함을 상기시키는 경고일 수 있습니다.",컵 다섯 번째 (Five of Cups): 이 카드는 실망과 손실을 나타냅니다. 연애 관계에서는 어려운 시기를 겪거나 과거의 상처에 대한 슬픔이 나타날 수 있습니다. 이 카드는 이전의 상처를 극복하고 새로운 시작을 향해 나아가는 데 필요한 용기를 상기시킵니다.,1st성배 5돈,2st성배 5돈,3st성배 5돈,1st성배 5일,2st성배 5일,3st성배 5일
55,마이너,cups 6,성배 6,"과거를 돌이켜봄, 행복",정방향,Six of Cups (사랑의 여섯): 과거에는 연애에서 어린 시절의 기억이나 과거의 연인에 대한 애정에 매달려 있었을 수 있습니다. 과거의 연애 경험이 현재의 관계에 영향을 줄 수 있습니다.,"Six of Cups (컵의 식스): 이 카드는 추억과 자부심을 상징합니다. 연애에서 나온 경우, 당신이나 상대방이 과거의 추억에 기대거나 과거의 사랑을 회상할 수 있습니다. 이 카드는 순수한 사랑과 무덤덤한 기쁨을 나타내며, 어린 시절의 순수함을 회상하고 공유하는 시간을 의미할 수 있습니다.",컵 여섯 번째 (Six of Cups): 이 카드는 추억과 과거의 연애를 상징합니다. 연애 관계에서는 과거의 추억이나 공동의 경험이 중요하게 다가올 수 있습니다. 이 카드는 상호 간에 이해와 연결이 깊은 관계를 나타냅니다.,1st성배 6돈,2st성배 6돈,3st성배 6돈,1st성배 6일,2st성배 6일,3st성배 6일
56,마이너,cups 7,성배 7,"환상, 약간의 성공(영구적이진 않음)",정방향,Seven of Cups (사랑의 일곱): 연애에서는 이전에는 현실적이지 못한 꿈이나 욕망에 사로잡혔을 수 있습니다. 현재의 연애 관계에서 현실적인 선택을 내리지 못한 적이 있을 수 있습니다.,"Seven of Cups (컵의 세븐): 이 카드는 환상과 혼란을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 여러 가지 선택이나 욕망 사이에서 혼란스러울 수 있음을 나타냅니다. 이 카드는 현실과 상상 사이의 갈등을 보여주며, 현실적인 목표를 설정하고 선택하는 것이 중요함을 상기시킵니다.",컵 일곱 번째 (Seven of Cups): 이 카드는 환상과 선택의 어려움을 나타냅니다. 연애 관계에서는 선택의 어려움이 있거나 현실과 환상 사이에서 갈등할 수 있습니다. 이 카드는 목표를 명확히 하고 현실적인 선택을 하는 데 중요성을 강조합니다.,1st성배 7돈,2st성배 7돈,3st성배 7돈,1st성배 7일,2st성배 7일,3st성배 7일
57,마이너,cups 8,성배 8,"성공의 방치, 겸손",정방향,Eight of Cups (사랑의 여덟): 이전에는 연애에서 충족되지 않은 욕구나 관계에서의 실망으로 인해 관계를 떠나거나 포기한 경험이 있을 수 있습니다. 과거의 연애가 종료되었을 때의 감정이 있을 수 있습니다.,"Eight of Cups (컵의 에잇): 이 카드는 떠나기와 심리적인 성장을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 관계나 상황에서 떠나거나 더 나은 선택을 위해 발걸음을 옮길 수 있음을 나타냅니다. 이 카드는 자아 성장과 내적인 만족을 추구하는 욕구를 나타내며, 새로운 시작을 위한 용기를 보여줍니다.",컵 여덟 번째 (Eight of Cups): 이 카드는 이탈과 결별을 상징합니다. 연애 관계에서는 과거의 관계를 떠나 새로운 시작을 추구하거나 내적인 만족을 찾기 위해 여정을 떠날 수 있는 시기를 나타냅니다. 이 카드는 성장과 변화를 위해 과거를 떠나는 결정을 내리는 것을 상기시킵니다.,1st성배 8돈,2st성배 8돈,3st성배 8돈,1st성배 8일,2st성배 8일,3st성배 8일
58,마이너,cups 9,성배 9,"물질적 안녕, 만족",정방향,Nine of Cups (사랑의 아홉): 과거에는 연애에서 충족과 만족을 느끼지 못한 적이 있을 수 있습니다. 과거의 관계에서 행복을 찾지 못했을 수 있습니다.,"Nine of Cups (컵의 나인): 이 카드는 만족과 충족을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 감정적인 충족과 만족을 느끼고 있는 시기일 수 있습니다. 이 카드는 소망이 이루어지고 성취가 완성되었음을 나타내며, 관계에서 행복과 만족을 경험할 수 있다는 것을 의미합니다.",컵 아홉 번째 (Nine of Cups): 이 카드는 만족과 축복을 상징합니다. 연애 관계에서는 만족과 행복한 관계를 경험하고 있는 시기를 나타냅니다. 이 카드는 욕망이 실현되고 만족감을 느끼는 것을 상징합니다.,1st성배 9돈,2st성배 9돈,3st성배 9돈,1st성배 9일,2st성배 9일,3st성배 9일
59,마이너,cups 10,성배 10,"만족, 가정",정방향,Ten of Cups (사랑의 열): 연애에서는 과거에 가정이나 가족적인 만족을 찾지 못했을 수 있습니다. 과거의 관계에서의 행복과 만족을 느끼지 못했을 수 있습니다.,"Ten of Cups (컵의 텐): 이 카드는 완전한 행복과 가족의 만족을 상징합니다. 연애에서 나온 경우, 당신과 상대방 사이에 깊은 애정과 만족이 있는 관계일 수 있습니다. 이 카드는 가족과의 결속을 강조하며, 서로에 대한 사랑과 지지가 있는 풍요로운 관계를 나타냅니다.",컵 열 번째 (Ten of Cups): 이 카드는 행복한 가정과 만족을 상징합니다. 연애 관계에서는 상호 간의 사랑과 화목한 가정을 형성하는 시기를 나타냅니다. 이 카드는 가족적인 행복과 만족을 상징합니다.,1st성배 10돈,2st성배 10돈,3st성배 10돈,1st성배 10일,2st성배 10일,3st성배 10일
60,마이너,cups Page,성배 시종,"공부에 힘쓰는 젊은이, 숙고",정방향,Page of Cups (사랑의 Page): 과거에는 연애에서 어리석은 행동이나 감정적인 불안정함을 경험했을 수 있습니다. 자신의 감정에 대해 진실되게 표현하지 못한 적이 있을 수 있습니다.,"Page of Cups (컵의 페이지): 이 카드는 감정 표현과 창의성을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 감정적으로 개방되거나 새로운 감정을 경험하고 있는 중일 수 있습니다. 이 카드는 로맨틱한 제안이나 새로운 사랑의 시작을 나타낼 수 있습니다.",컵 페이지 (Page of Cups): 이 카드는 순수함과 감정 표현을 상징합니다. 연애 관계에서는 새로운 감정을 탐색하거나 표현하고자 하는 욕망을 나타냅니다. 이 카드는 로맨틱한 제안이나 새로운 사랑의 시작을 의미할 수 있습니다.,1st성배 시종돈,2st성배 시종돈,3st성배 시종돈,1st성배 시종일,2st성배 시종일,3st성배 시종일
61,마이너,cups Knight,성배 기사,"도착, 발전",정방향,Knight of Cups (사랑의 Knight): 이전에는 연애에서 로맨틱한 욕망이나 이상에 사로잡혔을 수 있습니다. 현실적인 사랑을 추구하지 못한 적이 있을 수 있습니다.,"Knight of Cups (컵의 나이트): 이 카드는 로맨틱한 이상주의와 열정을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 로맨틱한 모험을 추구하고 있는 모습을 나타냅니다. 이 카드는 로맨스와 감성적인 표현에 대한 열정을 나타내며, 사랑을 위한 열망과 상상력을 강조합니다.",컵 기사 (Knight of Cups): 이 카드는 로맨틱한 감정과 상상력을 상징합니다. 연애 관계에서는 로맨틱한 제안이나 감정 표현을 향한 열망을 나타냅니다. 이 카드는 사랑의 모험을 찾고 있는 시기를 상징합니다.,1st성배 기사돈,2st성배 기사돈,3st성배 기사돈,1st성배 기사일,2st성배 기사일,3st성배 기사일
62,마이너,cups Queen,성배 여왕,"선량한, 행복",정방향,Queen of Cups (사랑의 Queen): 연애에서 과거에는 자기 희생이나 온정에 중점을 두었을 수 있습니다. 과거의 감정적인 상처로부터 회복되지 못한 적이 있을 수 있습니다.,"Queen of Cups (컵의 퀸): 이 카드는 감정적인 성숙과 직관력을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 상대방의 감정을 이해하고 존중하며, 서로에게 지지를 제공하는 모습을 보일 수 있습니다. 이 카드는 이해심 있고 친절한 모습을 강조하며, 관계에서 서로를 위로하고 지지하는 능력을 나타냅니다.",컵 여왕 (Queen of Cups): 이 카드는 이해심과 감정적 지혜를 상징합니다. 연애 관계에서는 이해심과 지지를 제공하고 서로를 이해하고자 하는 의지를 나타냅니다. 이 카드는 감정적으로 깊은 관계를 형성하는 데 중요함을 강조합니다.,1st성배 여왕돈,2st성배 여왕돈,3st성배 여왕돈,1st성배 여왕일,2st성배 여왕일,3st성배 여왕일
63,마이너,cups King,성배 왕,"공정한, 창조적 지성",정방향,King of Cups (사랑의 King): 과거에는 연애에서 감정적인 안정을 찾지 못했을 수 있습니다. 감정적인 냉담함이나 제어력을 유지하지 못한 적이 있을 수 있습니다.,"King of Cups (컵의 킹): 이 카드는 감정적인 균형과 지혜를 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 감정을 조절하고 표현하는 데 있어서 성숙하고 안정된 모습을 보일 수 있습니다. 이 카드는 감정적인 리더십과 깊은 연민을 나타내며, 관계에서 감정적인 안정과 조화를 중시합니다.",컵 왕 (King of Cups): 이 카드는 감정적 안정과 균형을 상징합니다. 연애 관계에서는 감정적인 안정성과 지혜를 지니고 있는 파트너를 상징합니다. 이 카드는 서로를 이해하고 지지하는 관계를 형성하는 데 중요함을 나타냅니다.,1st성배 왕돈,2st성배 왕돈,3st성배 왕돈,1st성배 왕일,2st성배 왕일,3st성배 왕일
64,마이너,pentacles 1,동전 1,"완전한 만족, 돈",정방향,Ace of Pentacles (행운의 Ace): 연애에서 새로운 안정적인 시작이나 재정적 안정을 찾지 못했을 수 있습니다. 과거에는 관계의 재무적인 측면이나 안정성을 강조하지 않은 적이 있을 수 있습니다.,"Ace of Pentacles (펜티클의 에이스): 이 카드는 새로운 기회와 풍요로움을 상징합니다. 연애에서 이 카드가 나온다면, 당신이나 상대방이 새로운 관계나 새로운 시작에 대한 기회를 받을 수 있습니다. 이 카드는 안정적이고 지속적인 관계를 구축하고자 하는 욕구를 나타냅니다.",동전 에이스 (Ace of Pentacles): 이 카드는 안정과 풍요를 상징합니다. 연애 관계에서는 새로운 시작이나 안정적인 발전을 나타냅니다. 이 카드는 두 사람이 함께 미래를 계획하고 공동의 목표를 향해 나아가는 의지를 나타냅니다.,1st동전 1돈,2st동전 1돈,3st동전 1돈,1st동전 1일,2st동전 1일,3st동전 1일
65,마이너,pentacles 2,동전 2,"명람함, 문서에 의한 뉴스·메세지",정방향,Two of Pentacles (행운의 둘): 이전에는 연애에서 균형과 안정을 유지하는 것이 어려웠을 수 있습니다. 관계에서의 변화와 조정이 필요한 상황을 경험했을 수 있습니다.,"Two of Pentacles (펜티클의 투): 이 카드는 균형과 조절을 상징합니다. 연애에서 나온 경우, 당신이나 상대방이 여러 가지 우선순위나 요구사항을 조율하고 균형을 유지하려는 시기일 수 있습니다. 이 카드는 변화와 조화를 통해 관계를 발전시키고자 하는 노력을 나타냅니다.",동전 두 번째 (Two of Pentacles): 이 카드는 균형과 조정을 상징합니다. 연애 관계에서는 양측이 서로의 필요와 욕구를 조화롭게 해결하려는 노력을 보여줍니다. 이 카드는 변화와 조정이 필요한 시기임을 암시합니다.,1st동전 2돈,2st동전 2돈,3st동전 2돈,1st동전 2일,2st동전 2일,3st동전 2일
66,마이너,pentacles 3,동전 3,"기예, 거래",정방향,Three of Pentacles (행운의 셋): 과거에는 연애에서 협력과 협업의 중요성을 이해하지 못했을 수 있습니다. 공동의 목표를 달성하기 위해 협력하는 방법을 배우지 못한 적이 있을 수 있습니다.,"Three of Pentacles (펜티클의 쓰리): 이 카드는 협업과 성공을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 함께 협력하여 관계를 발전시키고자 할 수 있습니다. 이 카드는 상호 존중과 협력을 통해 공동의 목표를 달성하려는 노력을 나타냅니다.",동전 세 번째 (Three of Pentacles): 이 카드는 협력과 성공을 상징합니다. 연애 관계에서는 두 사람이 함께 협력하여 문제를 해결하고 성취를 이루는 과정을 나타냅니다. 이 카드는 두 사람이 서로를 인정하고 존중하는 관계를 가지고 있음을 보여줍니다.,1st동전 3돈,2st동전 3돈,3st동전 3돈,1st동전 3일,2st동전 3일,3st동전 3일
67,마이너,pentacles 4,동전 4,"소유의 보정, 집착",정방향,Four of Pentacles (행운의 넷): 연애에서 이전에는 소유욕이나 물질적인 안전에 과도하게 집착했을 수 있습니다. 과거에는 관계에서 자유로움과 관대함을 부족하게 여기거나 공유하지 않은 적이 있을 수 있습니다,"Four of Pentacles (펜티클의 포): 이 카드는 안정과 보수적인 태도를 상징합니다. 연애에서 나온 경우, 당신이나 상대방이 보호적이거나 안전한 관계를 원할 수 있습니다. 이 카드는 또한 자기 보호와 안정을 위해 자산을 지키고자 하는 욕구를 나타냅니다.",동전 네 번째 (Four of Pentacles): 이 카드는 보수적이고 안전을 추구하는 경향을 나타냅니다. 연애 관계에서는 보호와 안전을 중요시하는 경향이 있을 수 있습니다. 그러나 때로는 두 사람이 서로를 향한 열린 마음이 필요할 수 있습니다.,1st동전 4돈,2st동전 4돈,3st동전 4돈,1st동전 4일,2st동전 4일,3st동전 4일
68,마이너,pentacles 5,동전 5,물질적인 트러블,정방향,Five of Pentacles (행운의 다섯): 이전에는 연애에서 부족함이나 결핍을 경험했을 수 있습니다. 관계에서의 경제적 또는 감정적인 어려움을 겪은 적이 있을 수 있습니다.,"Five of Pentacles (펜티클의 파이브): 이 카드는 어려움과 부족함을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 고독하거나 외로움을 느낄 수 있으며, 경제적인 문제나 불안이 있을 수 있습니다. 이 카드는 서로의 지지와 도움을 구하고 나누는 중요성을 강조합니다.","동전 다섯 번째 (Five of Pentacles): 이 카드는 결핍과 어려움을 나타냅니다. 연애 관계에서는 어려운 시기를 겪을 수 있으며, 서로를 위로하고 지지해야 하는 상황을 나타냅니다. 이 카드는 서로의 지지와 협력이 중요함을 강조합니다.",1st동전 5돈,2st동전 5돈,3st동전 5돈,1st동전 5일,2st동전 5일,3st동전 5일
69,마이너,pentacles 6,동전 6,"성공, 선물",정방향,Six of Pentacles (행운의 여섯): 연애에서는 과거에 관계에서 공평성과 관대함을 부족하게 여길 수 있습니다. 관계에서의 자비와 관대함을 연습하지 못한 적이 있을 수 있습니다.,"Six of Pentacles (펜티클의 식스): 이 카드는 관용과 후한 태도를 상징합니다. 연애에서 나온 경우, 당신이나 상대방이 관계에서 서로를 돕고 지지하는 것을 나타냅니다. 이 카드는 또한 공정한 분배와 상호 지원을 통해 관계를 강화하려는 노력을 나타냅니다.",동전 여섯 번째 (Six of Pentacles): 이 카드는 관용과 후한 마음을 상징합니다. 연애 관계에서는 서로에 대한 관대함과 이해심이 중요합니다. 이 카드는 관계에서 상호간에 혜택과 지지를 나누는 과정을 나타냅니다.,1st동전 6돈,2st동전 6돈,3st동전 6돈,1st동전 6일,2st동전 6일,3st동전 6일
70,마이너,pentacles 7,동전 7,"금전, 사업",정방향,Seven of Pentacles (행운의 일곱): 과거에는 연애에서 노력의 보상이나 장기적인 보상을 이해하지 못했을 수 있습니다. 노력에 대한 인내심이나 계획의 필요성을 인식하지 못한 적이 있을 수 있습니다.,"Seven of Pentacles (펜티클의 세븐): 이 카드는 인내와 성장을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 현재의 관계를 평가하고 더 나은 미래를 위해 노력하고 있을 수 있습니다. 이 카드는 노력과 인내가 결실을 맺을 때까지 기다림을 강조합니다.",동전 일곱 번째 (Seven of Pentacles): 이 카드는 기다림과 인내를 상징합니다. 연애 관계에서는 결과를 기다리는 과정이 필요할 수 있습니다. 이 카드는 두 사람이 함께 성장하고 발전하기 위해 인내심을 가지고 노력해야 함을 나타냅니다.,1st동전 7돈,2st동전 7돈,3st동전 7돈,1st동전 7일,2st동전 7일,3st동전 7일
71,마이너,pentacles 8,동전 8,"장인 기질, 준비",정방향,Eight of Pentacles (행운의 여덟): 이전에는 연애에서 자기 계발이나 실력 향상에 충분히 주의를 기울이지 못했을 수 있습니다. 관계의 성장과 발전에 대해 충분한 노력을 기울이지 않은 적이 있을 수 있습니다.,"Eight of Pentacles (펜티클의 에잇): 이 카드는 노력과 전문성을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 관계를 개선하고 발전시키기 위해 노력하고 있는 모습을 나타냅니다. 이 카드는 노력과 집중이 성공을 이끌어 낼 수 있음을 상기시킵니다.",동전 여덟 번째 (Eight of Pentacles): 이 카드는 노력과 전문성을 상징합니다. 연애 관계에서는 서로를 위해 노력하고 발전하기 위해 노력하는 과정을 나타냅니다. 이 카드는 두 사람이 함께 노력하여 행복한 관계를 만들어 나갈 준비가 되어 있다는 것을 나타냅니다.,1st동전 8돈,2st동전 8돈,3st동전 8돈,1st동전 8일,2st동전 8일,3st동전 8일
72,마이너,pentacles 9,동전 9,"물질적인 풍요, 달성",정방향,Nine of Pentacles (행운의 아홉): 과거에는 연애에서 자립과 독립성을 충분히 가지지 못했을 수 있습니다. 관계에서의 개인적인 성취와 자신감을 찾는 데 어려움을 겪은 적이 있을 수 있습니다.,"Nine of Pentacles (펜티클의 나인): 이 카드는 풍요와 안정을 상징합니다. 연애에서 이 카드가 나온다면, 당신이나 상대방이 개인적인 성취와 안녕을 즐기고 있는 시기일 수 있습니다. 이 카드는 자신감과 독립심을 나타내며, 관계에서도 개인의 성장과 만족을 중요시하는 것을 보여줍니다.",동전 아홉 번째 (Nine of Pentacles): 이 카드는 독립과 안정을 상징합니다. 연애 관계에서는 개인적인 성취와 안정을 중시하는 시기일 수 있습니다. 이 카드는 자아실현과 개인적인 발전을 추구하는 중이라는 것을 나타냅니다.,1st동전 9돈,2st동전 9돈,3st동전 9돈,1st동전 9일,2st동전 9일,3st동전 9일
73,마이너,pentacles 10,동전 10,"이익, 재산",정방향,Ten of Pentacles (행운의 열): 연애에서는 과거에 가정이나 가족적인 안정을 찾지 못했을 수 있습니다. 관계에서의 안정성과 풍요로움을 찾는 데 어려움을 겪은 적이 있을 수 있습니다.,"Ten of Pentacles (펜티클의 텐): 이 카드는 안정과 풍족함을 상징합니다. 연애에서 나온 경우, 당신이나 상대방이 안정된 관계나 가정 환경을 만들고자 하는 욕구를 나타냅니다. 이 카드는 가족이나 가정의 중요성을 강조하며, 장기적인 관계의 안정성을 나타냅니다.",동전 열 번째 (Ten of Pentacles): 이 카드는 안정과 풍요를 상징합니다. 연애 관계에서는 가족과 안정적인 관계를 형성하거나 가정을 건설하기를 원할 수 있습니다. 이 카드는 장기적인 관계의 발전과 안정성을 나타냅니다.,1st동전 10돈,2st동전 10돈,3st동전 10돈,1st동전 10일,2st동전 10일,3st동전 10일
74,마이너,pentacles Page,동전 시종,"정려근면, 학생",정방향,Page of Pentacles (행운의 Page): 과거에는 연애에서 실용적인 접근 방식이나 지적 호기심을 부족하게 여겼을 수 있습니다. 관계에서의 지식과 경험에 대한 열정을 발휘하지 못한 적이 있을 수 있습니다.,"Page of Pentacles (펜티클의 페이지): 이 카드는 신중함과 신뢰성을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 새로운 관계나 사랑에 대해 탐구하고 있을 수 있습니다. 이 카드는 새로운 시작이나 새로운 관점을 받아들이려는 의지를 나타냅니다.",동전 페이지 (Page of Pentacles): 이 카드는 신중함과 현실적인 태도를 상징합니다. 연애 관계에서는 새로운 시작이나 새로운 관계를 찾고 있을 수 있습니다. 이 카드는 새로운 사랑의 기회를 탐색하거나 새로운 관계에 대한 탐구가 시작되고 있다는 것을 나타냅니다.,1st동전 시종돈,2st동전 시종돈,3st동전 시종돈,1st동전 시종일,2st동전 시종일,3st동전 시종일
75,마이너,pentacles Knight,동전 기사,"유용, 재산",정방향,Knight of Pentacles (행운의 Knight): 이전에는 연애에서 안정성이나 신뢰성을 추구하지 않았을 수 있습니다. 관계에서의 실제 행동과 안정성을 제공하지 못한 적이 있을 수 있습니다.,"Knight of Pentacles (펜티클의 나이트): 이 카드는 성실함과 꾸준함을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 신중하고 견실한 관계를 추구하고 있을 수 있습니다. 이 카드는 노력과 실용성을 가치 있게 여기는 태도를 나타냅니다.",동전 기사 (Knight of Pentacles): 이 카드는 신중함과 신뢰성을 상징합니다. 연애 관계에서는 신뢰할 수 있는 파트너와의 안정적인 관계를 찾고자 하는 의지를 나타냅니다. 이 카드는 믿음직한 관계와 결속이 강한 연애의 징후일 수 있습니다.,1st동전 기사돈,2st동전 기사돈,3st동전 기사돈,1st동전 기사일,2st동전 기사일,3st동전 기사일
76,마이너,pentacles Queen,동전 여왕,"부, 관대",정방향,Queen of Pentacles (행운의 Queen): 연애에서는 과거에 안정성이나 안락함을 중시하지 않았을 수 있습니다. 관계에서의 안정성과 질서를 찾는 데 어려움을 겪은 적이 있을 수 있습니다.,"Queen of Pentacles (펜티클의 퀸): 이 카드는 안정과 풍족함을 상징합니다. 연애에서 이 카드가 나온다면, 당신이나 상대방이 관계에서 안정적이고 지지력 있는 역할을 맡고 있을 수 있습니다. 이는 또한 당신이나 상대방이 상호 배려하고 서로를 돌보며 관계를 키워나가고 있다는 것을 나타냅니다.",동전 여왕 (Queen of Pentacles): 이 카드는 안정과 관용을 상징합니다. 연애 관계에서는 지지와 보호를 제공하고 서로를 배려하는 마음가짐이 중요합니다. 이 카드는 집안일과 가정을 중시하는 관계를 나타냅니다.,1st동전 여왕돈,2st동전 여왕돈,3st동전 여왕돈,1st동전 여왕일,2st동전 여왕일,3st동전 여왕일
77,마이너,pentacles King,동전 왕,"실제적인 지성, 사업",정방향,King of Pentacles (행운의 King): 과거에는 연애에서 믿음과 안정성을 제공하지 못했을 수 있습니다. 관계에서의 안정성과 재정적인 보장을 제공하지 못한 적이 있을 수 있습니다.,"King of Pentacles (펜티클의 킹): 이 카드는 안정과 풍요를 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 관계에서 지혜롭고 안정된 리더 역할을 맡고 있을 수 있습니다. 이는 또한 당신이나 상대방이 재정적으로 안정되어 있거나 현실적인 가치를 중시하는 것을 나타냅니다.",동전 왕 (King of Pentacles): 이 카드는 안정과 신뢰성을 상징합니다. 연애 관계에서는 안정적이고 확고한 관계를 추구하고자 하는 의지를 나타냅니다. 이 카드는 서로를 지지하고 존중하는 관계를 형성하는 것이 중요함을 강조합니다.,1st동전 왕돈,2st동전 왕돈,3st동전 왕돈,1st동전 왕일,2st동전 왕일,3st동전 왕일
78,메이저 0,The Fool,바보,"경솔, 어리석음",역방향,The Fool (어리석음): 당신이 과거에는 모험심이나 무책임한 행동으로 인해 문제를 겪었을 수 있습니다. 이러한 경험이 현재의 관계나 상황에 영향을 미칠 수 있습니다.,"00. The Fool (어리석음): 이 카드가 역방향으로 나온다면, 당신이나 상대방이 현재 새로운 시작을 두려워하거나 무모한 선택을 할 위험이 있습니다. 과거의 경험이나 두려움 때문에 새로운 사랑의 기회를 놓치고 있을 수 있습니다.","The Fool (어리석음): 이 카드가 역방향으로 나온다면, 새로운 시작이나 모험에 대한 두려움이나 망설임이 있을 수 있습니다. 과거의 경험에 의한 불안감이나 신중성이 필요한 상황을 나타낼 수 있습니다.",1st바보역돈,2st바보역돈,3st바보역돈,1st바보역일,2st바보역일,3st바보역일
